Edge TPU Compiler version 16.0.384591198
Input: /mnt/c/Users/jjw74/Desktop/SNU/SNU 3-2/Creative Integrated Design/repnext-optimization/logs/iter3_segments/n4/repnext_m5_relu_sparse_stage2_downsample_512_int8_dwpatched_segment_0_of_4.tflite
Output: /mnt/c/Users/jjw74/Desktop/SNU/SNU 3-2/Creative Integrated Design/repnext-optimization/logs/iter3_segments/n4/repnext_m5_relu_sparse_stage2_downsample_512_int8_dwpatched_segment_0_of_4_edgetpu.tflite

Operator                       Count      Status

TRANSPOSE                      64         Operation is otherwise supported, but not mapped due to some unspecified limitation
SPLIT                          1          Mapped to Edge TPU
SPLIT                          7          More than one subgraph is not supported
MUL                            9          More than one subgraph is not supported
CONV_2D                        2          Mapped to Edge TPU
CONV_2D                        16         More than one subgraph is not supported
DEPTHWISE_CONV_2D              102        More than one subgraph is not supported
DEPTHWISE_CONV_2D              13         Mapped to Edge TPU
CONCATENATION                  9          More than one subgraph is not supported
PAD                            2          Mapped to Edge TPU
PAD                            10         More than one subgraph is not supported
ADD                            7          Mapped to Edge TPU
ADD                            72         More than one subgraph is not supported
