Edge TPU Compiler version 16.0.384591198
Input: /mnt/c/Users/jjw74/Desktop/SNU/SNU 3-2/Creative Integrated Design/repnext-optimization/logs/iter4_segments/n3/repnext_m5_relu_sparse_stage2_downsample_512_int8_dwpatched_segment_0_of_3.tflite
Output: /mnt/c/Users/jjw74/Desktop/SNU/SNU 3-2/Creative Integrated Design/repnext-optimization/logs/iter4_segments/n3/repnext_m5_relu_sparse_stage2_downsample_512_int8_dwpatched_segment_0_of_3_edgetpu.tflite

Operator                       Count      Status

CONV_2D                        2          Mapped to Edge TPU
CONV_2D                        18         More than one subgraph is not supported
MUL                            10         More than one subgraph is not supported
DEPTHWISE_CONV_2D              13         Mapped to Edge TPU
DEPTHWISE_CONV_2D              115        More than one subgraph is not supported
CONCATENATION                  10         More than one subgraph is not supported
PAD                            2          Mapped to Edge TPU
PAD                            10         More than one subgraph is not supported
TRANSPOSE                      72         Operation is otherwise supported, but not mapped due to some unspecified limitation
SPLIT                          8          More than one subgraph is not supported
SPLIT                          1          Mapped to Edge TPU
ADD                            7          Mapped to Edge TPU
ADD                            81         More than one subgraph is not supported
