Edge TPU Compiler version 16.0.384591198
Input: repnext_stage2_int8_dwpatched.tflite
Output: ./repnext_stage2_int8_dwpatched_edgetpu.tflite

Operator                       Count      Status

DEPTHWISE_CONV_2D              204        Mapped to Edge TPU
CONCATENATION                  16         Mapped to Edge TPU
PAD                            22         Mapped to Edge TPU
ADD                            142        Mapped to Edge TPU
TRANSPOSE                      116        Operation is otherwise supported, but not mapped due to some unspecified limitation
SPLIT                          14         Mapped to Edge TPU
MUL                            16         Mapped to Edge TPU
CONV_2D                        34         Mapped to Edge TPU
