Edge TPU Compiler version 16.0.384591198
Input: /mnt/c/Users/jjw74/Desktop/SNU/SNU 3-2/Creative Integrated Design/repnext-optimization/logs/iter3_segments/n2/repnext_m5_relu_sparse_stage2_downsample_512_int8_dwpatched_segment_1_of_2.tflite
Output: /mnt/c/Users/jjw74/Desktop/SNU/SNU 3-2/Creative Integrated Design/repnext-optimization/logs/iter3_segments/n2/repnext_m5_relu_sparse_stage2_downsample_512_int8_dwpatched_segment_1_of_2_edgetpu.tflite

Operator                       Count      Status

ADD                            35         More than one subgraph is not supported
ADD                            1          Mapped to Edge TPU
SPLIT                          3          More than one subgraph is not supported
CONCATENATION                  4          More than one subgraph is not supported
PAD                            10         More than one subgraph is not supported
TRANSPOSE                      28         Operation is otherwise supported, but not mapped due to some unspecified limitation
DEPTHWISE_CONV_2D              50         More than one subgraph is not supported
MUL                            4          More than one subgraph is not supported
CONV_2D                        1          Mapped to Edge TPU
CONV_2D                        8          More than one subgraph is not supported
