Edge TPU Compiler version 16.0.384591198
Input: logs/iter5_concatfold_n2/repnext_stage2_int8_dwpatched_concatfold_segment_1_of_2.tflite
Output: logs/iter5_concatfold_n2/repnext_stage2_int8_dwpatched_concatfold_segment_1_of_2_edgetpu.tflite

Operator                       Count      Status

PAD                            10         More than one subgraph is not supported
CONCATENATION                  4          More than one subgraph is not supported
SPLIT                          3          More than one subgraph is not supported
ADD                            1          Mapped to Edge TPU
ADD                            35         More than one subgraph is not supported
CONV_2D                        8          More than one subgraph is not supported
CONV_2D                        1          Mapped to Edge TPU
MUL                            4          More than one subgraph is not supported
DEPTHWISE_CONV_2D              50         More than one subgraph is not supported
TRANSPOSE                      25         Operation is otherwise supported, but not mapped due to some unspecified limitation
