Edge TPU Compiler version 16.0.384591198
Input: logs/repnext_stage2_int8_dwpatched_concatfold.tflite
Output: logs/iter5_concatfold_a/repnext_stage2_int8_dwpatched_concatfold_edgetpu.tflite

Operator                       Count      Status

DEPTHWISE_CONV_2D              204        Mapped to Edge TPU
MUL                            16         Mapped to Edge TPU
CONV_2D                        34         Mapped to Edge TPU
ADD                            142        Mapped to Edge TPU
SPLIT                          14         Mapped to Edge TPU
TRANSPOSE                      105        Operation is otherwise supported, but not mapped due to some unspecified limitation
PAD                            22         Mapped to Edge TPU
CONCATENATION                  16         Mapped to Edge TPU
